name,twitter,short_desc,desc,tag,href,expert_id
Ross Douthat,,Visiting Fellow,"American politics
American society and culture
Religion
Family life

Society and Culture 
Ross Douthat is a visiting fellow at the American Enterprise Institute, where he studies American politics, culture, religion, and family life. He is also an opinion columnist for The New York Times.
A prolific writer, Mr. Douthat has written for The Atlantic and National Review and has been published widely in the popular press. He is the author of five books: “The Decadent Society: How We Became the Victims of Our Own Success” (Simon & Schuster, 2020); “To Change the Church: Pope Francis and the Future of Catholicism” (Simon & Schuster, 2018); “Bad Religion: How We Became a Nation of Heretics” (Simon & Schuster, 2012); “Grand New Party: How Republicans Can Win the Working Class and Save the American Dream” (Doubleday, 2008), which he coauthored with Reihan Salam; and “Privilege: Harvard and the Education of the Ruling Class” (Hyperion Books, 2005).
He has a BA in history from Harvard University.
BA, history, Harvard University ",,https://www.aei.org/profile/ross-douthat/,ross-douthat
Colin Dueck,,Visiting Scholar,"National security
Nationalism

Foreign and Defense Policy 
Colin Dueck is a visiting scholar at the American Enterprise Institute, where he is focusing on the interconnection between US national security strategies and party politics, conservative ideas, and presidential leadership. He is also a professor in the Schar School of Policy and Government at George Mason University, where he is the faculty adviser for the Alexander Hamilton Society. A senior nonresident fellow at the Foreign Policy Research Institute, he has also served as a foreign policy adviser on several Republican presidential campaigns.
Dr. Dueck is the author of three books on American foreign and national security policies: “The Obama Doctrine: American Grand Strategy Today” (Oxford University Press, 2015), “Hard Line: The Republican Party and US Foreign Policy Since World War II” (Princeton University Press, 2010), and “Reluctant Crusaders: Power, Culture, and Change in American Grand Strategy” (Princeton University Press, 2006). He has testified before Congress and has been published in academic journals and the popular press. These include International Security, Orbis, Political Science Quarterly, the Review of International Studies, Security Studies, World Policy Journal, The New York Times, Foreign Affairs, RealClearPolitics, and National Review.
A Rhodes scholar, Dr. Dueck has a PhD in politics from Princeton University and an MPhil in international relations from Oxford University. He was also awarded a John M. Olin Postdoctoral Fellowship in national security studies by Harvard University. His earlier degrees in history were obtained from the University of Saskatchewan.
John M. Olin Postdoctoral Fellowship in National Security Studies, Harvard University
PhD, politics, Princeton University
MPhil, international relations, Oxford University (Rhodes Scholar)
MA, BA, history, University of Saskatchewan","National security
Nationalism",https://www.aei.org/profile/colin-dueck/,colin-dueck
Mackenzie Eaglen,MEaglen,Resident Fellow,"Defense budget
Defense strategy
Military readiness
US military

Foreign and Defense Policy 
Mackenzie Eaglen is a resident fellow at the American Enterprise Institute (AEI), where she works on defense strategy, defense budgets, and military readiness. She is also a regular guest lecturer at universities, a member of the board of advisers of the Alexander Hamilton Society, and a member of the steering committee of the Leadership Council for Women in National Security.
While working at AEI, Ms. Eaglen served as a staff member on the National Defense Strategy Commission, a congressionally mandated bipartisan review group whose final report in November 2018, “Providing for the Common Defense,” included assessments and recommendations for the administration. Earlier, Ms. Eaglen served as a staff member on the 2014 congressionally mandated National Defense Panel, established to assess US defense interests and strategic objectives, and in 2010 on the congressionally mandated bipartisan Quadrennial Defense Review Independent Panel, which evaluated the Pentagon’s defense strategy. She is also one of the 12-member US Army War College Board of Visitors, which offers advice about program objectives and effectiveness.
Before joining AEI, Ms. Eaglen worked on defense issues in the House of Representatives, in the US Senate, and at the Pentagon in the Office of the Secretary of Defense and on the Joint Staff.
A prolific writer on defense-related issues, Ms. Eaglen has been published in the popular press, including in Foreign Affairs, The New York Times, Politico, The Wall Street Journal, The Washington Post, and War on the Rocks. She has also testified before Congress.
Ms. Eaglen has an MA from the Edmund A. Walsh School of Foreign Service at Georgetown University and a BA from Mercer University.
MA, Edmund A. Walsh School of Foreign Service, Georgetown University
BA, Mercer University

The American Enterprise Institute is committed to supporting clear and transparent coverage of the COVID-19 pandemic as it affects our fellow citizens and way of life. As demand rises for equipment, technology, medical research, and other services to combat the virus, the federal government has tried to formulate an effective response. At the same time, […]
President Trump invoked his authority under the Defense Production Act of 1950 last weekend to compel General Motors to work faster on its contract to make ventilators. His action wasn’t a moment too soon. The president wasted precious time because of his administration’s caution regarding DPA powers. Passed at the start of the Korean War, […]
Ealier this month, the Pentagon followed through on the president’s promise to divert money intended for military base construction projects to help build portions of a southern border wall. In February, President Trump declared a national emergency at the southern border, requiring the use of the armed forces and paving the way to pilfer defense dollars for an immigration problem. This was […]","Defense budget
Defense strategy
Military readiness
US military",https://www.aei.org/profile/mackenzie-eaglen/,mackenzie-eaglen
Nicholas Eberstadt,,Henry Wendt Chair in Political Economy,"Demographics
Economic Development
Global health
North Korea
Poverty

Foreign and Defense Policy 
Nicholas Eberstadt holds the Henry Wendt Chair in Political Economy at the American Enterprise Institute (AEI), where he researches and writes extensively on demographics and economic development generally, and more specifically on international security in the Korean peninsula and Asia. Domestically, he focuses on poverty and social well-being. Dr. Eberstadt is also a senior adviser to the National Bureau of Asian Research (NBR).
His many books and monographs include “Poverty in China” (IDI, 1979); “The Tyranny of Numbers” (AEI Press, 1995); “The End of North Korea” (AEI Press, 1999); “The Poverty of the Poverty Rate” (AEI Press, 2008); and “Russia’s Peacetime Demographic Crisis” (NBR, 2010). His latest book is “Men Without Work: America’s Invisible Crisis” (Templeton Press, 2016).
He has offered invited testimony before Congress on numerous occasions and has served as consultant or adviser for a variety of units within the US government. His appearances on radio and television range from NPR to CNN’s “The Situation Room with Wolf Blitzer.”
Mr. Eberstadt has a PhD in political economy and government, an MPA from the Kennedy School of Government, and an AB from Harvard University. In addition, he holds a master of science from the London School of Economics.
In 2012, Mr. Eberstadt was awarded the prestigious Bradley Prize.
PhD, political economy and government, Harvard University
MPA, Kennedy School of Government, Harvard University
MSc, London School of Economics
AB, Harvard University","Demographics
Economic Development
Global health
North Korea
Poverty",https://www.aei.org/profile/nicholas-eberstadt/,nicholas-eberstadt
Jeffrey Eisenach,JeffEisenach,Visiting Scholar,"Antitrust
Internet regulation
Telecommunications

Economics 
Jeffrey Eisenach is a visiting scholar at the American Enterprise Institute where he focuses on telecommunications, internet regulation, and competition and policy issues in the information technology sector. Dr. Eisenach is also a managing director at NERA Economic Consulting and an adjunct professor at the Antonin Scalia Law School at George Mason University where he teaches a course on regulated industries.
Dr. Eisenach has served in a variety of senior positions at the Federal Trade Commission and the Office of Management and Budget at the White House. He has also taught at Harvard University’s Kennedy School of Government and at Virginia Tech.
He is the coauthor of “An American Strategy for Cyberspace: Advancing Freedom, Security, and Prosperity” (AEI, 2016), and has been published in Forbes, The Hill, the New York Times and RealClearMarkets among others. His broadcast appearances include National Public Radio’s “All Things Considered,” Marketplace, and Fox Business.
Dr. Eisenach has a PhD in economics from the University of Virginia and a BA in economics from Claremont McKenna College.
PhD, economics, University of Virginia
BA, economics, Claremont McKenna College","Antitrust
Internet regulation
Telecommunications",https://www.aei.org/profile/jeffrey-eisenach/,jeffrey-eisenach
Joseph B. Fuller,,Visiting Fellow,"Higher education
US workforce
Vocational education

Education 
Joseph B. Fuller is a visiting fellow at the American Enterprise Institute, where he researches the future of work and its relation to workforce development and training, as well as higher education. He is also a professor of management practice at Harvard Business School, where he is codirector of the Project on Managing the Future of Work.
The coauthor of academic papers on US competitiveness, the skills gap, and degree inflation, Mr. Fuller published most recently a coauthored report titled “Room to Grow: Identifying New Frontiers in Apprenticeships” (Burning Glass Technologies and Harvard Business School, November 2017). He has also been published in the popular press, including in The Atlantic, Politico, and The Hill.
Mr. Fuller has an MBA from Harvard Business School and a bachelor’s degree from Harvard College.
MBA, Harvard Business School
AB., Harvard College","Higher education
US workforce
Vocational education",https://www.aei.org/profile/joseph-b-fuller/,joseph-b-fuller
Scott Ganz,,Research Fellow,"Corporate governance
Entrepreneurship

Economics 
Scott Ganz is a research fellow in economic policy studies at the American Enterprise Institute, where his work focuses on the management and regulation of firms and, in particular, how public policy impacts how companies learn, adapt, and innovate. His prior research focuses on the housing, utilities, energy, financial, and internet sectors.
Since 2016, Dr. Ganz has been an assistant professor of public policy at the Georgia Institute of Technology, where he teaches courses on quantitative methods, internet policy, and business and government. Previously, he worked on the Financial Crisis Inquiry Commission (FCIC) as special assistant to Vice Chairman William M. Thomas. Before joining the FCIC, Dr. Ganz was program manager for economic policy studies at AEI.
Dr. Ganz has been published in the popular press and in a variety of academic journals. These include RealClearPolicy, Tax Notes, Environmental Politics, and Organization Science.
Dr. Ganz holds a PhD in business administration from the Stanford Graduate School of Business and a BA in economics and political science from Amherst College.
PhD, business administration, Stanford Graduate School of Business
BA, economics and political science, Amherst College","Corporate governance
Entrepreneurship",https://www.aei.org/profile/scott-c-ganz/,scott-c-ganz
R. Richard Geddes,,Visiting Scholar,"American infrastructure policy

Economics 
R. Richard “Rick” Geddes is a visiting scholar at the American Enterprise Institute (AEI), where he focuses on infrastructure public and private partnerships, the US postal system and postal delivery policy, and corporate governance. Concurrently he is professor of policy analysis and management at Cornell University and director of the Cornell Program in Infrastructure Policy.
Dr. Geddes served as a commissioner of the National Surface Transportation Policy and Revenue Study Commission, which submitted its report to Congress in January 2008. Previously, he was a senior economist on the President’s Council of Economic Advisers, a national fellow at the Hoover Institution at Stanford University, and a visiting faculty fellow at Yale Law School.
In 2009 and 2010, Dr. Geddes worked on public-private partnerships in Australia, first as a Fulbright senior scholar at Australian National University in Canberra and later as a visiting researcher with the Australian government’s Productivity Commission.
Dr. Geddes’ work has been published in scholarly journals, which include the American Economic Review, the Journal of Urban Economics, the Encyclopedia of Law and Economics, the Journal of Law and Economics, and the Journal of Regulatory Economics. In addition, his commentary has appeared in CNN.com, The Hill, The New York Times, and The Wall Street Journal, among others.
Dr. Geddes has a PhD and an MA in economics from the University of Chicago. He has a bachelor of science in economics and finance from Towson State University.
Professor, 2016–present; Associate Professor, 2003–16; Director of Undergraduate Studies, 2005–07; Assistant Professor, Department of Policy Analysis and Management 2002–03; Faculty Fellow, Atkinson Center for a Sustainable Future, 2014–present; Founding Director, Cornell Program in Infrastructure Policy, 2012–present; Core Faculty Member, Cornell Institute for Public Affairs, 2012–present; Member, Field of Public Affairs, 2004–present; Member, Field of Economics, 2004–present, Cornell University
Member, Revenue and Finance Committee, Transportation Research Board, 2012–present
Member, Public-Private Partnership Subcommittee of the Revenue and Finance Committee, Transportation Research Board, 2012–present
Visiting Scholar, American Enterprise Institute, 2011–present
Visiting Researcher, Australian government’s Productivity Commission (Canberra), January–June 2010
Fulbright Senior Scholar, Economics Program, Research School of Social Science, Australian National University, July–December 2009
Commissioner, National Surface Transportation Policy and Revenue Study Commission, 2006–08
Senior Economist, President’s Council of Economic Advisers, The White House, 2004–05
National Fellow, Hoover Institution, Stanford University, 1999–2000
Associate Professor of Economics, 1999–2002; Assistant Professor of Economics, 1991–99, Fordham University
Visiting Faculty Fellow, Program in Civil Liability, Yale Law School, 1995–96
PhD, MA, economics, University of Chicago
BS, economics and finance, Towson State University

 ",American infrastructure policy,https://www.aei.org/profile/r-richard-geddes/,r-richard-geddes
Joseph W. Glauber,,Visiting Scholar,"Agriculture policy
Farm subsidies

Economics 
Joseph (Joe) W. Glauber is a visiting fellow at the American Enterprise Institute (AEI), where he focuses on general agricultural policy including the Farm Bill, crop insurance, and agricultural subsidies. Concurrently he is a senior research fellow at the International Food Policy Research Institute.
Dr. Glauber spent more than 30 years at the US Department of Agriculture, where he served as the department’s chief economist from 2008 to 2014, and was chairman of the board of directors of the Federal Crop Insurance Corporation. In 2012, he was elected fellow of the Agricultural and Applied Economics Association.
Dr. Glauber has also served as the special Doha agricultural envoy in the office of the US Trade Representative and was the chief agricultural negotiator for the Doha talks. In addition, he served as an economic adviser to the Blair House agreements, which led to the completion of the Uruguay Round negotiations.
The author of numerous studies on crop insurance, disaster policy, and US farm policy, Dr. Glauber has been widely published in academic journals including the Agricultural Finance Review, Agricultural and Resource Economics Review, American Journal of Agricultural Economics, Contemporary Economic Policy, and the Journal of Agricultural and Resource Economics.
Dr. Glauber received his PhD in agricultural economics from the University of Wisconsin and holds an AB in anthropology from the University of Chicago.
PhD, agricultural economics, University of Wisconsin
AB, anthropology, University of Chicago","Agriculture policy
Farm subsidies",https://www.aei.org/profile/joseph-w-glauber/,joseph-w-glauber
Jonah Goldberg,JonahDispatch,Fellow and Asness Chair in Applied Liberty,"American politics
Conservatism
Society and culture

Society and Culture 

Politics and Public Opinion 
Jonah Goldberg holds the Asness Chair in Applied Liberty at the American Enterprise Institute, where he is a fellow. He writes about political and cultural issues and is concurrently the editor-in-chief of The Dispatch, a media company he cofounded after leaving National Review in 2019. He is also the host of the podcast “The Remnant with Jonah Goldberg.”
A senior fellow at the National Review Institute, Mr. Goldberg is a weekly columnist for the Los Angeles Times, and his syndicated column appears in over 100 newspapers nationwide. He is a Fox News contributor and a regular member of the Fox News All-Stars panel on “Special Report with Bret Baier.” He appears regularly also on NPR’s “Morning Edition.”
Mr. Goldberg is the author of three New York Times bestsellers: “Suicide of the West” (Crown Forum, 2018), “The Tyranny of Clichés” (Sentinel HC, 2012), and “Liberal Fascism” (Doubleday, 2008).
BA, Goucher College","American politics
Conservatism
Society and culture",https://www.aei.org/profile/jonah-goldberg/,jonah-goldberg
Barry K. Goodwin,,Visiting Scholar,"
Economics ",,https://www.aei.org/profile/barry-k-goodwin/,barry-k-goodwin
Scott Gottlieb,ScottGottliebMD,Resident Fellow,"FDA
Health care policy
Medical innovation
Pharmaceuticals

Health Care 
Scott Gottlieb, MD, is a resident fellow at the American Enterprise Institute (AEI). He returned to AEI in 2019 after serving as the 23rd commissioner of the Food and Drug Administration (FDA). At AEI, he continues his work on improving public health through entrepreneurship and medical innovation and on expanding regulatory approaches to maintain patient and physician autonomy. Dr. Gottlieb is also a special partner with the venture capital firm New Enterprise Associates and serves on the boards of Pfizer, Illumina, Aetion, and Tempus.
At the FDA, Dr. Gottlieb focused on a wide variety of issues, including drug pricing, medical product innovation, food safety, vaccination, and tobacco and vaping. He advanced new policies to address opioid addiction, working to rationalize prescribing as a way to reduce the rate of new addiction. He helped make the regulatory process for the development and review of novel drug and medical devices more efficient, including the approval of the first gene-therapy-based cancer treatment. He also presided over a record number of novel drug and medical device approvals in 2017 — and then broke that record in 2018.
Dr. Gottlieb helped promote competition through the approval of a record number of generic drugs, including the creation of new pathways for developing generic copies of complex drugs. He also helped advance the FDA’s Oncology Center for Excellence, which fosters a collaborative scientific environment to improve the development and regulation of oncology products. In addition, he helped implement the 21st Century Cures Act to accelerate medical product development.
Dr. Gottlieb previously served in other capacities at the FDA, including as deputy commissioner for medical and scientific affairs, senior adviser for medical technology, and director of medical policy development. Earlier, he served as senior policy adviser to the administrator at the Centers for Medicare & Medicaid Services. Until he joined the FDA as commissioner, he was also a clinical assistant professor at New York University School of Medicine. Earlier, he was a practicing physician and hospitalist concurrently with his AEI work.
In addition to his frequent testimonies before Congress, Dr. Gottlieb is often published and interviewed by the media. A contributor to CNBC, his interviews range from Face The Nation, CBS News to Fox News, and his commentary and articles have appeared in Health Affairs, The Wall Street Journal, The Washington Post, and The New York Times, among other outlets.
Dr. Gottlieb has a medical degree from Mount Sinai School of Medicine and did his residency in internal medicine at the Mount Sinai Medical Center. He has a BA in economics from Wesleyan University.
Residency in Internal Medicine, Mount Sinai Medical Center
MD, Mount Sinai School of Medicine
BA, economics, Wesleyan University","FDA
Health care policy
Medical innovation
Pharmaceuticals",https://www.aei.org/profile/scott-gottlieb/,scott-gottlieb
Phil Gramm,,Visiting Scholar,"Congress
Tax reform
Trade policy

Economics 
An economist by training, Senator Phil Gramm has had a long and distinguished career in public service, academia and the private sector. Before joining AEI, Sen. Gramm was the vice chairman of UBS Investment Bank, where he provided strategic economic, political and policy advice to important corporate and institutional clients. He served in the US Congress representing Texas for more than two decades, first as the 6th congressional district representative to the US House of Representatives, then later as senator. His legislative record includes landmark bills like the Gramm-Latta Budget – which reduced federal spending, rebuilt national defense and mandated the Reagan tax cut – and the Gramm-Rudman Act, which placed the first binding constraints on federal spending. As chairman of the Senate Banking Committee, Sen. Gramm steered legislation modernizing banking, insurance and securities laws. The Gramm-Leach-Bliley Act amended the 70-year-old Glass-Steagall Act,  allowing banks, security companies and insurance companies to affiliate through a financial services holding company.  Sen. Gramm taught economics at Texas A&M University for 12 years before becoming a member of Congress. He has published numerous articles and books on subjects ranging from private property, monetary theory and policy to the economics of mineral extraction. As a visiting scholar at AEI, he will be working on a comprehensive plan to fix the US economy through reform of the tax code and entitlement programs such as Social Security and Medicare.
 
 
 

PhD, economics, University of Georgia

BA, economics, University of Georgia

 ","Congress
Tax reform
Trade policy",https://www.aei.org/profile/phil-gramm/,phil-gramm
William C. Greenwalt,,Visiting Fellow,"Defense industrial base
Defense management issues
Defense acquisition and procurement reform
Export control reform
Defense technology policy and innovation

Foreign and Defense Policy 
William C. Greenwalt is a visiting fellow at the American Enterprise Institute (AEI), where he focuses on the expansion of America’s defense industrial base and defense management issues. Issues include technology-transfer reform, defense acquisition and procurement reform, technology policy and innovation, and the civil-military integration of Silicon Valley and the Department of Defense.
Before rejoining AEI, Mr. Greenwalt served in senior positions at the Department of Defense, in Congress, and in the defense industry. As deputy under secretary of defense for industrial policy, he advised the under secretary of defense for acquisition, technology, and logistics on all matters relating to the defense industrial base. In Congress, he worked for the Senate Armed Service Committee, the Senate Governmental Affairs Committee, and the House Appropriations Committee. In the private sector, Mr. Greenwalt worked for Lockheed Martin and the Aerospace Industries Association.
Mr. Greenwalt has a BA in economics and political science from California State University, Long Beach, and an MA in international relations and defense and security studies from the University of Southern California.
BA, economics and political science, California State University, Long Beach
MA, international relations, University of Southern California",,https://www.aei.org/profile/william-c-greenwalt/,william-c-greenwalt
Jim Harper,Jim_Harper,Visiting Fellow,"Cryptocurrency (bitcoin)
Digital privacy
US Constitution

Economics 
Jim Harper is a visiting fellow at the American Enterprise Institute (AEI), where he focuses on privacy issues, and select legal and constitutional law issues.
A lawyer by training, Mr. Harper has served as counsel for the Subcommittee on Commercial, and Administrative Law of the US House Committee on the Judiciary and as counsel for the Senate Committee on Government Affairs. More recently, he worked at the Competitive Enterprise Institute and the Cato Institute, where he wrote on the intersection of business, technology, and public policy, including privacy, surveillance, data security, telecommunications, and cryptocurrencies. He also served as global policy counsel for the Bitcoin Foundation. Mr. Harper was a founding member of the Department of Homeland Security’s Data Privacy and Integrity Advisory Committee. Early in his post-Hill career, he represented companies such as PayPal and Verisign before Congress.
Mr. Harper is the co-editor of “Terrorizing Ourselves: Why U.S. Counterterrorism Policy Is Failing and How to Fix It” (Cato Institute, 2010) and the author of “Identity Crisis: How Identification Is Overused and Misunderstood” (Cato Institute, 2006). He has written several amicus briefs in Fourth Amendment cases before the U.S. Supreme Court and has published scholarly articles in a variety of law journals. In the popular press, Mr. Harper has been published in The New York Times and The Wall Street Journal, among many other publications.
Mr. Harper has a law degree from the U.C. Hastings College of the Law, where he was editor-in-chief of the Hastings Constitutional Law Quarterly, and a BA from the University of California, Santa Barbara.
JD, UC Hastings College of the Law
BA, University of California, Santa Barbara","Cryptocurrency (bitcoin)
Digital privacy
US Constitution",https://www.aei.org/profile/jim-harper/,jim-harper
Frederick M. Hess,rickhess99,"Resident Scholar; Director, Education Policy Studies ","Higher education
K-12 education

Education 
Frederick M. Hess is a resident scholar and the director of Education Policy Studies at the American Enterprise Institute (AEI), where he works on K–12 and higher education issues. He is the author of Education Week’s popular blog “Rick Hess Straight Up,” is a regular contributor to Forbes and The Hill, and serves as the executive editor of Education Next.
As an educator, political scientist, and author, Dr. Hess has published in scholarly outlets, such as American Politics Quarterly, Harvard Education Review, Social Science Quarterly, Teachers College Record, and Urban Affairs Review. His work has also appeared in popular outlets including The Atlantic, National Affairs, National Review, The New York Times, USA Today, The Wall Street Journal, and The Washington Post.
His books include “Letters to a Young Education Reformer” (Harvard Education Press, 2017), “The Cage-Busting Teacher” (Harvard Education Press, 2015), “Breakthrough Leadership in the Digital Age” (Corwin, 2014), “Cage-Busting Leadership” (Harvard Education Press, 2013), “The Same Thing Over and Over” (Harvard University Press, 2010), “Education Unbound” (ASCD, 2010), “Common Sense School Reform” (St. Martin’s Press Griffin, 2004), “Revolution at the Margins” (Brookings Institution Press, 2002), and “Spinning Wheels” (Brookings Institution Press, 1998). Dr. Hess has also edited influential books on the Common Core, entrepreneurship in education, education philanthropy, the impact of education research, and the Every Student Succeeds Act.
Dr. Hess is the senior founding fellow of the Public Education Foundation’s Leadership Institute of Nevada. He also serves on the boards of directors of the National Association of Charter School Authorizers and 4.0 Schools.
Dr. Hess started his career as a high school social studies teacher. He teaches or has taught at the University of Virginia, the University of Pennsylvania, Georgetown University, Rice University, Johns Hopkins University, and Harvard University.
Dr. Hess has an MA and a PhD in government, in addition to an MEd in teaching and curriculum, from Harvard University. He also has a BA in political science from Brandeis University.
Follow AEI Education Policy on Twitter
Follow Frederick M. Hess on Twitter.
PhD, MA, government; M.Ed., teaching and curriculum, Harvard University
BA, political science, Brandeis University

In “Letters to a Young Education Reformer,” Frederick M. Hess distills knowledge from 25 years of working in and around school reform. Inspired by his conversations with young, would-be reformers who are passionate about transforming education, the book offers a window into Hess’ thinking about what education reform is and should be.","Higher education
K-12 education",https://www.aei.org/profile/frederick-m-hess/,frederick-m-hess
R. Glenn Hubbard,,Visiting Scholar,"Corporate governance
Federal budget
Financial markets
Health care policy
Poverty
Tax reform

Economics 
 Glenn Hubbard is a visiting scholar at the American Enterprise Institute, where his work is focused on a wide range of economic issues including health care; poverty; public, corporate, and international finance; and financial markets and institutions. A former chairman of the President’s Council of Economic Advisers at the White House, Dr. Hubbard concurrently serves as dean emeritus and Russell L. Carson Professor of Economics and Finance at Columbia Business School. He has also served as a deputy assistant secretary at the US Treasury Department and as a consultant to the Federal Reserve Board and the Federal Reserve Bank of New York, among other positions.
Dr. Hubbard has been widely published in academic journals and the popular press, including in the American Economic Review, the Journal of Financial Economic Policy, The Atlantic, The Wall Street Journal, and The Washington Post. His books include “Balance: The Economics of Great Powers from Ancient Rome to Modern America” (Simon & Schuster, 2013); “The Aid Trap: Hard Truths About Ending Poverty” (Columbia University Press, 2009); and “Healthy, Wealthy, and Wise: Five Steps to a Better Health Care System” (AEI Press and Hoover Institution Press, 2005, second edition, 2011).
Dr. Hubbard has a PhD and a master’s in economics from Harvard University. He holds a BS and a BA in economics from the University of Central Florida.
PhD, AM, economics, Harvard University
BS, BA, economics, University of Central Florida
","Corporate governance
Federal budget
Financial markets
Health care policy
Poverty
Tax reform",https://www.aei.org/profile/r-glenn-hubbard/,r-glenn-hubbard
Benedic N. Ippolito,ben_ippolito,Resident Scholar,"Health care costs
Health care policy
Medicaid
Medicare
Surprise medical billing

Health Care 
Benedic Ippolito is a resident scholar in economic policy studies at the American Enterprise Institute, where his research focuses on public finance and health economics. He studies health care financing, the pharmaceutical market and its regulations, and the effect of health care costs on the personal finances of Americans.
Dr. Ippolito has been published in a variety of leading peer-reviewed academic and policy journals. These include the American Economic Journal: Economic Policy, Health Affairs, Tax Notes, and the National Bureau of Economic Research’s Tax Policy and the Economy. He also regularly writes for broader audiences, and his work has appeared in The Wall Street Journal, Health Affairs Blog, and STAT, among others. He has also testified before Congress.
Ippolito has a PhD and an MS in economics from the University of Wisconsin-Madison and a BA in economics and mathematics from Emory University.
PhD and MS, economics, University of Wisconsin-Madison
BA, economics and mathematics, Emory University","Health care costs
Health care policy
Medicaid
Medicare
Surprise medical billing",https://www.aei.org/profile/benedic-n-ippolito/,benedic-n-ippolito
Mark Jamison,drj_policy,Visiting Scholar,"Antitrust
Digital privacy
Internet regulation

Economics 
Mark Jamison is a visiting scholar at the American Enterprise Institute, where he works on how technology affects the economy, and on telecommunications and Federal Communications Commission issues. He is concurrently the director and Gunter Professor of the Public Utility Research Center at the University of Florida’s Warrington College of Business.
Dr. Jamison has served on the FCC transition team for President-elect Trump, as a special adviser to the chair of the governor of Florida’s internet task force, and as president of the Transportation and Public Utilities Group. Earlier, he was manager of regulatory policy at Sprint, head of research for the Iowa Utilities Board, and communications economist for the Kansas Corporation Commission. He has also served on a variety of boards at the state and federal level, including as chairperson of the Staff Subcommittee on Communication of the National Association of Regulatory Utility Commissioners.
Dr. Jamison has written three books, including “Industry Structure and Pricing: The New Rivalry in Infrastructure” (Kluwer Academic Press, 1999), and has contributed to several edited volumes. He has been published in academic and policy journals such as the Journal of Competition Law and Economics, Review of Network Economics, and Telecommunications Policy. His popular writing has appeared in RealClearMarkets, US News & World Report, The Gainesville Sun, and the Sun Sentinel, among others.
Dr. Jamison has a PhD in economics from the Warrington College of Business at the University of Florida. He obtained a BS and an MS in agricultural education and economics from Kansas State University.
PhD, economics, Warrington College of Business, University of Florida
MS, agricultural economics; BS, agricultural education, Kansas State University","Antitrust
Digital privacy
Internet regulation",https://www.aei.org/profile/mark-jamison-2/,mark-jamison-2
Matt Jensen,MattHJensen,"Director, Open Source Policy Center","Open Source Policy Center (OSPC)
Tax reform

Economics 
Matt Jensen is the founding director of the Open Source Policy Center (OSPC) at AEI, which makes critical policy simulation models available to the public through online interfaces such as TaxBrain — a simulation program for tax policy analysis — and educates the public about open approaches to policy analysis. His mission is to advance open research and harness its power to improve government and the economy.
Mr. Jensen also participates in educating the next generation of open-source contributors as a lecturer and founding member of the advisory board for the Open Source Macroeconomics Laboratory at the University of Chicago’s Becker Friedman Institute. He is a founder and chairman of the Open Research Group, a public-benefit corporation that harnesses for-profit incentives to cultivate open-science, open-data, and open-source projects.
Finally, Mr. Jensen is an open-source technical contributor to several economic modeling projects and serves as a core maintainer for three open-source projects: Tax-Calculator, C-TAM, and PolicyBrains. Based on his experience with these projects and other work, he contributes to the legislative process for tax reform and government transparency.
Mr. Jensen has written for RealClearMarkets, Tax Notes, The Wall Street Journal, and US News & World Report, among other publications. He is a graduate of Pomona College with a degree in mathematics.
Follow Matt Jensen on Twitter.
BA, mathematics, Pomona College","Open Source Policy Center (OSPC)
Tax reform",https://www.aei.org/profile/matthew-h-jensen/,matthew-h-jensen
Frederick W. Kagan,criticalthreats,"Resident Scholar; Director, Critical Threats Project","Afghanistan
Critical Threats Project
Iran
Iraq
Syria

Foreign and Defense Policy 
PhD, Russian and Soviet military history;
BA, Soviet and East European studies, Yale University","Afghanistan
Critical Threats Project
Iran
Iraq
Syria",https://www.aei.org/profile/frederick-w-kagan/,frederick-w-kagan
Steven B. Kamin,,Resident Scholar,"International Finance
Macroeconomics
Monetary policy

Economics 
Steven B. Kamin is a resident scholar at the American Enterprise Institute (AEI), where he studies international macroeconomic and financial issues.
Before joining AEI, Dr. Kamin was the director of the Division of International Finance at the Federal Reserve Board, where he guided the direction of economic research and the formulation of the staff’s global economic forecast, which he presented to the Federal Open Market Committee. Dr. Kamin was a principal adviser on international economic and financial policy matters to the Federal Reserve’s chair and other board members. He represented the Fed before international groups such as the G7, the G20, and the Bank for International Settlements (BIS) Committee on the Global Financial System.
In addition to holding a range of other positions during his 32 years at the Fed, Dr. Kamin served as a visiting economist at the BIS, a senior economist at the White House Council of Economic Advisers, and a consultant for the World Bank. His writings on international macroeconomics and finance have been published widely, including in International Finance, Journal of Development Economics, Journal of International Money and Finance, Journal of Money, Credit and Banking, Journal of Policy Modeling, and Review of International Economics.
Dr. Kamin has a BA in economics and history from the University of California, Berkeley, and a doctorate in economics from the Massachusetts Institute of Technology.
PhD, economics, Massachusetts Institute of Technology
BA, economics and history, University of California, Berkeley
","International Finance
Macroeconomics
Monetary policy",https://www.aei.org/profile/steven-b-kamin/,steven-b-kamin
Leon R. Kass,WSPWH,Emeritus Scholar,"Bioethics
Society and culture

Society and Culture 
PhD biochemistry, Harvard University
MD, honors; BS, biology, honors, University of Chicago","Bioethics
Society and culture",https://www.aei.org/profile/leon-r-kass/,leon-r-kass
